FIT Profiler Report
Profile stats for: records
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*        27.17%     619.000us        99.74%       2.272ms       1.136ms             2  
[pl][profile][Strategy]SingleDeviceStrategy.validati...        13.83%     315.000us        33.71%     768.000us     384.000us             2  
[pl][profile][Callback]TQDMProgressBar.on_validation...        25.86%     589.000us        25.86%     589.000us     294.500us             2  
[pl][module]lightning_pod.agents.module.Encoder: enc...         1.19%      27.000us         9.88%     225.000us     112.500us             2  
[pl][module]torch.nn.modules.container.Sequential: e...         2.02%      46.000us         8.21%     187.000us      93.500us             2  
[pl][module]lightning_pod.agents.module.Decoder: dec...         0.75%      17.000us         5.88%     134.000us      67.000us             2  
[pl][module]torch.nn.modules.container.Sequential: d...         1.67%      38.000us         5.00%     114.000us      57.000us             2  
                                           aten::linear         0.31%       7.000us         4.74%     108.000us      13.500us             8  
                                            aten::addmm         2.81%      64.000us         3.56%      81.000us      10.125us             8  
[pl][module]torch.nn.modules.linear.Linear: encoder....         0.75%      17.000us         3.38%      77.000us      38.500us             2  
[pl][profile][Callback]EarlyStopping{'monitor': 'los...         3.03%      69.000us         3.03%      69.000us      34.500us             2  
                                            aten::zeros         1.54%      35.000us         2.77%      63.000us       1.125us            56  
[pl][profile][Strategy]SingleDeviceStrategy.batch_to...         2.55%      58.000us         2.59%      59.000us      29.500us             2  
                                            aten::empty         2.19%      50.000us         2.19%      50.000us       0.424us           118  
enumerate(DataLoader)#_MultiProcessingDataLoaderIter...         2.19%      50.000us         2.19%      50.000us      25.000us             2  
                                             aten::mean         0.35%       8.000us         2.11%      48.000us      12.000us             4  
                                         aten::mse_loss         0.31%       7.000us         1.84%      42.000us      21.000us             2  
[pl][module]torch.nn.modules.linear.Linear: decoder....         0.40%       9.000us         1.45%      33.000us      16.500us             2  
                                             aten::div_         0.70%      16.000us         1.36%      31.000us       6.200us             5  
[pl][module]torch.nn.modules.activation.ReLU: encode...         0.61%      14.000us         1.27%      29.000us      14.500us             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.278ms
